	gene_id	PSn
30106	GRMZM2G115948	1
30098	GRMZM2G115914	1
30095	GRMZM2G115901	1
30089	GRMZM2G115855	1
30088	GRMZM2G115841	1
31130	GRMZM2G120432	1
31143	GRMZM2G120517	1
32037	GRMZM2G124550	1
32034	GRMZM2G124532	1
32025	GRMZM2G124509	1
32024	GRMZM2G124502	1
32010	GRMZM2G124455	1
32002	GRMZM2G124434	1
31999	GRMZM2G124417	1
31994	GRMZM2G124411	1
31986	GRMZM2G124371	1
31980	GRMZM2G124353	1
31978	GRMZM2G124335	1
31973	GRMZM2G124321	1
32039	GRMZM2G124553	1
32044	GRMZM2G124557	1
32046	GRMZM2G124560	1
32124	GRMZM2G124890	1
32123	GRMZM2G124886	1
32117	GRMZM2G124876	1
32115	GRMZM2G124863	1
32114	GRMZM2G124820	1
32107	GRMZM2G124802	1
32106	GRMZM2G124799	1
32104	GRMZM2G124794	1
32100	GRMZM2G124785	1
32099	GRMZM2G124759	1
32098	GRMZM2G124758	1
32090	GRMZM2G124739	1
32089	GRMZM2G124732	1
32076	GRMZM2G124671	1
32074	GRMZM2G124663	1
32071	GRMZM2G124644	1
32062	GRMZM2G124616	1
32061	GRMZM2G124602	1
32060	GRMZM2G124593	1
32055	GRMZM2G124576	1
31958	GRMZM2G124313	1
31957	GRMZM2G124307	1
31880	GRMZM2G123973	1
31878	GRMZM2G123969	1
31877	GRMZM2G123966	1
31876	GRMZM2G123963	1
31874	GRMZM2G123940	1
31869	GRMZM2G123938	1
31868	GRMZM2G123922	1
31851	GRMZM2G123886	1
31850	GRMZM2G123884	1
31881	GRMZM2G123977	1
31848	GRMZM2G123876	1
31840	GRMZM2G123838	1
31838	GRMZM2G123820	1
31836	GRMZM2G123815	1
31832	GRMZM2G123805	1
31830	GRMZM2G123796	1
31825	GRMZM2G123794	1
31823	GRMZM2G123790	1
31822	GRMZM2G123776	1
31819	GRMZM2G123764	1
31845	GRMZM2G123866	1
32132	GRMZM2G124919	1
31882	GRMZM2G123986	1
31884	GRMZM2G123987	1
31955	GRMZM2G124301	1
31944	GRMZM2G124276	1
31934	GRMZM2G124229	1
31933	GRMZM2G124225	1
31930	GRMZM2G124209	1
31928	GRMZM2G124207	1
31926	GRMZM2G124203	1
31922	GRMZM2G124175	1
31919	GRMZM2G124143	1
31912	GRMZM2G124103	1
31909	GRMZM2G124091	1
31903	GRMZM2G124078	1
31902	GRMZM2G124070	1
31897	GRMZM2G124061	1
31896	GRMZM2G124059	1
31890	GRMZM2G124042	1
31885	GRMZM2G123996	1
31916	GRMZM2G124136	1
31816	GRMZM2G123719	1
32133	GRMZM2G124921	1
32137	GRMZM2G124963	1
32408	GRMZM2G126002	1
32407	GRMZM2G125991	1
32406	GRMZM2G125985	1
32398	GRMZM2G125947	1
32397	GRMZM2G125943	1
32396	GRMZM2G125935	1
32391	GRMZM2G125923	1
32388	GRMZM2G125893	1
32367	GRMZM2G125812	1
32366	GRMZM2G125800	1
32359	GRMZM2G125762	1
32344	GRMZM2G125668	1
32342	GRMZM2G125656	1
32333	GRMZM2G125642	1
32331	GRMZM2G125617	1
32326	GRMZM2G125575	1
32315	GRMZM2G125552	1
32302	GRMZM2G125529	1
32299	GRMZM2G125527	1
32410	GRMZM2G126010	1
32415	GRMZM2G126019	1
32492	GRMZM2G126292	1
32489	GRMZM2G126285	1
32484	GRMZM2G126261	1
32474	GRMZM2G126235	1
32472	GRMZM2G126218	1
32466	GRMZM2G126199	1
32295	GRMZM2G125516	1
32458	GRMZM2G126190	1
32455	GRMZM2G126182	1
32454	GRMZM2G126177	1
32447	GRMZM2G126161	1
32434	GRMZM2G126083	1
32432	GRMZM2G126077	1
32431	GRMZM2G126062	1
32427	GRMZM2G126055	1
32426	GRMZM2G126049	1
32421	GRMZM2G126038	1
32289	GRMZM2G125507	1
32286	GRMZM2G125495	1
32285	GRMZM2G125494	1
32194	GRMZM2G125193	1
32190	GRMZM2G125175	1
32184	GRMZM2G125151	1
32179	GRMZM2G125148	1
32175	GRMZM2G125140	1
32170	GRMZM2G125081	1
32168	GRMZM2G125072	1
32158	GRMZM2G125023	1
32154	GRMZM2G125001	1
32151	GRMZM2G124975	1
32150	GRMZM2G124974	1
32143	GRMZM2G124972	1
32165	GRMZM2G125052	1
32201	GRMZM2G125233	1
32278	GRMZM2G125482	1
32275	GRMZM2G125455	1
32260	GRMZM2G125436	1
32259	GRMZM2G125432	1
32257	GRMZM2G125424	1
32251	GRMZM2G125387	1
32197	GRMZM2G125196	1
32246	GRMZM2G125356	1
32234	GRMZM2G125310	1
32231	GRMZM2G125308	1
32226	GRMZM2G125304	1
32222	GRMZM2G125294	1
32220	GRMZM2G125271	1
32219	GRMZM2G125268	1
32216	GRMZM2G125266	1
32215	GRMZM2G125263	1
32235	GRMZM2G125314	1
31813	GRMZM2G123709	1
31366	GRMZM2G121543	1
31363	GRMZM2G121520	1
31362	GRMZM2G121516	1
31361	GRMZM2G121514	1
31356	GRMZM2G121495	1
31351	GRMZM2G121468	1
31349	GRMZM2G121460	1
31345	GRMZM2G121458	1
31344	GRMZM2G121456	1
31340	GRMZM2G121427	1
31330	GRMZM2G121360	1
31327	GRMZM2G121333	1
31325	GRMZM2G121312	1
31323	GRMZM2G121308	1
31316	GRMZM2G121302	1
31315	GRMZM2G121293	1
31314	GRMZM2G121278	1
31313	GRMZM2G121275	1
31310	GRMZM2G121269	1
31309	GRMZM2G121264	1
31367	GRMZM2G121546	1
31369	GRMZM2G121565	1
31460	GRMZM2G122018	1
31450	GRMZM2G121996	1
31445	GRMZM2G121960	1
31431	GRMZM2G121905	1
31428	GRMZM2G121878	1
31422	GRMZM2G121871	1
31308	GRMZM2G121262	1
31416	GRMZM2G121840	1
31414	GRMZM2G121826	1
31412	GRMZM2G121820	1
31410	GRMZM2G121790	1
31406	GRMZM2G121776	1
31395	GRMZM2G121715	1
31390	GRMZM2G121700	1
31377	GRMZM2G121612	1
31375	GRMZM2G121605	1
31373	GRMZM2G121573	1
31305	GRMZM2G121237	1
31303	GRMZM2G121229	1
31302	GRMZM2G121228	1
31197	GRMZM2G120784	1
31191	GRMZM2G120779	1
31190	GRMZM2G120740	1
31181	GRMZM2G120657	1
31209	GRMZM2G120833	1
31177	GRMZM2G120652	1
31169	GRMZM2G120587	1
31166	GRMZM2G120579	1
31164	GRMZM2G120578	1
31159	GRMZM2G120574	1
31157	GRMZM2G120563	1
31148	GRMZM2G120539	1
31147	GRMZM2G120530	1
31175	GRMZM2G120621	1
31478	GRMZM2G122061	1
31210	GRMZM2G120839	1
31212	GRMZM2G120857	1
31293	GRMZM2G121210	1
31289	GRMZM2G121200	1
31274	GRMZM2G121128	1
31265	GRMZM2G121096	1
31263	GRMZM2G121075	1
31261	GRMZM2G121074	1
31260	GRMZM2G121070	1
31259	GRMZM2G121066	1
31258	GRMZM2G121063	1
31254	GRMZM2G121034	1
31248	GRMZM2G120987	1
31238	GRMZM2G120973	1
31236	GRMZM2G120964	1
31234	GRMZM2G120962	1
31230	GRMZM2G120951	1
31229	GRMZM2G120943	1
31222	GRMZM2G120938	1
31217	GRMZM2G120922	1
31216	GRMZM2G120918	1
31494	GRMZM2G122126	1
31707	GRMZM2G123159	1
31691	GRMZM2G123089	1
31683	GRMZM2G123037	1
31676	GRMZM2G123018	1
31673	GRMZM2G122999	1
31653	GRMZM2G122892	1
31648	GRMZM2G122873	1
31647	GRMZM2G122871	1
31643	GRMZM2G122869	1
31640	GRMZM2G122850	1
31637	GRMZM2G122843	1
31633	GRMZM2G122811	1
31710	GRMZM2G123178	1
31713	GRMZM2G123204	1
31800	GRMZM2G123652	1
31797	GRMZM2G123633	1
31790	GRMZM2G123604	1
31787	GRMZM2G123587	1
31785	GRMZM2G123585	1
31778	GRMZM2G123544	1
31769	GRMZM2G123511	1
31763	GRMZM2G123495	1
31632	GRMZM2G122810	1
31759	GRMZM2G123486	1
31753	GRMZM2G123482	1
31750	GRMZM2G123459	1
31746	GRMZM2G123446	1
31733	GRMZM2G123371	1
31731	GRMZM2G123365	1
31725	GRMZM2G123314	1
31724	GRMZM2G123309	1
31721	GRMZM2G123305	1
31720	GRMZM2G123277	1
31719	GRMZM2G123262	1
31716	GRMZM2G123234	1
31546	GRMZM2G122327	1
31544	GRMZM2G122324	1
31543	GRMZM2G122306	1
31541	GRMZM2G122296	1
31540	GRMZM2G122290	1
31538	GRMZM2G122280	1
31535	GRMZM2G122277	1
31532	GRMZM2G122274	1
31529	GRMZM2G122261	1
31549	GRMZM2G122335	1
31522	GRMZM2G122231	1
31520	GRMZM2G122228	1
31512	GRMZM2G122198	1
31509	GRMZM2G122185	1
31508	GRMZM2G122172	1
31502	GRMZM2G122148	1
31501	GRMZM2G122139	1
31495	GRMZM2G122135	1
31527	GRMZM2G122251	1
31482	GRMZM2G122072	1
31553	GRMZM2G122337	1
31627	GRMZM2G122805	1
31626	GRMZM2G122793	1
31623	GRMZM2G122787	1
31616	GRMZM2G122767	1
31614	GRMZM2G122750	1
31608	GRMZM2G122712	1
31606	GRMZM2G122708	1
31602	GRMZM2G122666	1
31600	GRMZM2G122654	1
31591	GRMZM2G122607	1
31585	GRMZM2G122563	1
31577	GRMZM2G122498	1
31576	GRMZM2G122488	1
31573	GRMZM2G122479	1
31564	GRMZM2G122437	1
31561	GRMZM2G122431	1
31554	GRMZM2G122340	1
31604	GRMZM2G122687	1
27907	GRMZM2G106921	1
27900	GRMZM2G106903	1
27894	GRMZM2G106881	1
27886	GRMZM2G106807	1
27882	GRMZM2G106795	1
27871	GRMZM2G106748	1
27869	GRMZM2G106741	1
27868	GRMZM2G106732	1
27866	GRMZM2G106730	1
27862	GRMZM2G106702	1
27859	GRMZM2G106690	1
27856	GRMZM2G106683	1
27845	GRMZM2G106650	1
27831	GRMZM2G106600	1
27826	GRMZM2G106588	1
27814	GRMZM2G106531	1
27908	GRMZM2G106928	1
27910	GRMZM2G106931	1
27911	GRMZM2G106945	1
28004	GRMZM2G107309	1
27996	GRMZM2G107306	1
27976	GRMZM2G107199	1
27975	GRMZM2G107196	1
27812	GRMZM2G106526	1
27957	GRMZM2G107114	1
27934	GRMZM2G107089	1
27932	GRMZM2G107082	1
27930	GRMZM2G107076	1
27928	GRMZM2G107073	1
27924	GRMZM2G107027	1
27916	GRMZM2G106974	1
27913	GRMZM2G106960	1
27912	GRMZM2G106950	1
27970	GRMZM2G107163	1
27804	GRMZM2G106468	1
27726	GRMZM2G106165	1
27723	GRMZM2G106164	1
27711	GRMZM2G106119	1
27706	GRMZM2G106105	1
27705	GRMZM2G106099	1
27703	GRMZM2G106061	1
27702	GRMZM2G106056	1
27690	GRMZM2G106039	1
27727	GRMZM2G106172	1
27687	GRMZM2G106017	1
27683	GRMZM2G105991	1
27678	GRMZM2G105954	1
27673	GRMZM2G105933	1
27672	GRMZM2G105922	1
27665	GRMZM2G105869	1
27647	GRMZM2G105822	1
27645	GRMZM2G105791	1
27642	GRMZM2G105787	1
27634	GRMZM2G105766	1
27633	GRMZM2G105755	1
27684	GRMZM2G105996	1
28007	GRMZM2G107336	1
27731	GRMZM2G106190	1
27736	GRMZM2G106213	1
27803	GRMZM2G106462	1
27799	GRMZM2G106443	1
27798	GRMZM2G106429	1
27797	GRMZM2G106427	1
27786	GRMZM2G106408	1
27784	GRMZM2G106389	1
27783	GRMZM2G106384	1
27781	GRMZM2G106376	1
27780	GRMZM2G106363	1
27776	GRMZM2G106344	1
27772	GRMZM2G106331	1
27766	GRMZM2G106303	1
27758	GRMZM2G106263	1
27755	GRMZM2G106250	1
27753	GRMZM2G106245	1
27750	GRMZM2G106235	1
27748	GRMZM2G106233	1
28011	GRMZM2G107362	1
28252	GRMZM2G108259	1
28250	GRMZM2G108258	1
28242	GRMZM2G108225	1
28240	GRMZM2G108219	1
28238	GRMZM2G108207	1
28234	GRMZM2G108166	1
28230	GRMZM2G108147	1
28224	GRMZM2G108135	1
28222	GRMZM2G108133	1
28219	GRMZM2G108125	1
28213	GRMZM2G108103	1
28212	GRMZM2G108090	1
28207	GRMZM2G108077	1
28206	GRMZM2G108076	1
28203	GRMZM2G108057	1
28200	GRMZM2G108032	1
28195	GRMZM2G108008	1
28191	GRMZM2G107987	1
28253	GRMZM2G108265	1
28331	GRMZM2G108576	1
28330	GRMZM2G108570	1
28322	GRMZM2G108537	1
28316	GRMZM2G108514	1
28312	GRMZM2G108501	1
28309	GRMZM2G108480	1
28302	GRMZM2G108467	1
28299	GRMZM2G108457	1
28293	GRMZM2G108416	1
28287	GRMZM2G108364	1
28282	GRMZM2G108355	1
28278	GRMZM2G108348	1
28275	GRMZM2G108338	1
28267	GRMZM2G108285	1
28262	GRMZM2G108273	1
28260	GRMZM2G108272	1
28183	GRMZM2G107984	1
28103	GRMZM2G107679	1
28101	GRMZM2G107665	1
28100	GRMZM2G107654	1
28097	GRMZM2G107645	1
28092	GRMZM2G107639	1
28085	GRMZM2G107620	1
28104	GRMZM2G107686	1
28081	GRMZM2G107616	1
28070	GRMZM2G107575	1
28067	GRMZM2G107570	1
28065	GRMZM2G107565	1
28039	GRMZM2G107484	1
28034	GRMZM2G107469	1
28030	GRMZM2G107457	1
28025	GRMZM2G107417	1
28020	GRMZM2G107402	1
28078	GRMZM2G107597	1
28105	GRMZM2G107688	1
28107	GRMZM2G107689	1
28179	GRMZM2G107968	1
28177	GRMZM2G107945	1
28172	GRMZM2G107901	1
28170	GRMZM2G107896	1
28166	GRMZM2G107872	1
28164	GRMZM2G107867	1
28160	GRMZM2G107854	1
28155	GRMZM2G107838	1
28147	GRMZM2G107798	1
28141	GRMZM2G107761	1
28132	GRMZM2G107754	1
28130	GRMZM2G107745	1
28129	GRMZM2G107741	1
28123	GRMZM2G107739	1
28115	GRMZM2G107718	1
27631	GRMZM2G105750	1
27243	GRMZM2G104092	1
27237	GRMZM2G104081	1
27230	GRMZM2G104076	1
27227	GRMZM2G104070	1
27223	GRMZM2G104045	1
27222	GRMZM2G104041	1
27218	GRMZM2G104025	1
27212	GRMZM2G104017	1
27203	GRMZM2G104012	1
27201	GRMZM2G103983	1
27200	GRMZM2G103972	1
27196	GRMZM2G103945	1
27194	GRMZM2G103939	1
27192	GRMZM2G103937	1
27244	GRMZM2G104109	1
27245	GRMZM2G104118	1
27248	GRMZM2G104125	1
27250	GRMZM2G104141	1
27303	GRMZM2G104325	1
27298	GRMZM2G104310	1
27293	GRMZM2G104294	1
27288	GRMZM2G104283	1
27287	GRMZM2G104269	1
27187	GRMZM2G103929	1
27281	GRMZM2G104268	1
27279	GRMZM2G104262	1
27269	GRMZM2G104237	1
27267	GRMZM2G104234	1
27264	GRMZM2G104226	1
27259	GRMZM2G104179	1
27253	GRMZM2G104147	1
27175	GRMZM2G103897	1
27071	GRMZM2G103287	1
27070	GRMZM2G103281	1
27068	GRMZM2G103270	1
27064	GRMZM2G103266	1
27040	GRMZM2G103242	1
27037	GRMZM2G103236	1
27032	GRMZM2G103214	1
27028	GRMZM2G103197	1
27027	GRMZM2G103186	1
27018	GRMZM2G103164	1
27017	GRMZM2G103152	1
27310	GRMZM2G104353	1
27080	GRMZM2G103342	1
27086	GRMZM2G103382	1
27168	GRMZM2G103881	1
27164	GRMZM2G103847	1
27160	GRMZM2G103843	1
27156	GRMZM2G103825	1
27155	GRMZM2G103812	1
27145	GRMZM2G103773	1
27137	GRMZM2G103740	1
27136	GRMZM2G103725	1
27130	GRMZM2G103668	1
27115	GRMZM2G103610	1
27110	GRMZM2G103559	1
27109	GRMZM2G103546	1
27105	GRMZM2G103526	1
27104	GRMZM2G103512	1
27096	GRMZM2G103458	1
27091	GRMZM2G103430	1
27316	GRMZM2G104375	1
27509	GRMZM2G105219	1
27508	GRMZM2G105207	1
27500	GRMZM2G105189	1
27499	GRMZM2G105185	1
27486	GRMZM2G105019	1
27485	GRMZM2G105005	1
27480	GRMZM2G104999	1
27466	GRMZM2G104942	1
27463	GRMZM2G104938	1
27462	GRMZM2G104925	1
27461	GRMZM2G104920	1
27458	GRMZM2G104918	1
27452	GRMZM2G104877	1
27517	GRMZM2G105245	1
27525	GRMZM2G105297	1
27616	GRMZM2G105644	1
27614	GRMZM2G105631	1
27607	GRMZM2G105608	1
27606	GRMZM2G105604	1
27594	GRMZM2G105570	1
27592	GRMZM2G105539	1
27587	GRMZM2G105523	1
27451	GRMZM2G104876	1
27580	GRMZM2G105498	1
27574	GRMZM2G105469	1
27573	GRMZM2G105466	1
27569	GRMZM2G105436	1
27567	GRMZM2G105428	1
27566	GRMZM2G105425	1
27560	GRMZM2G105415	1
27557	GRMZM2G105398	1
27556	GRMZM2G105391	1
27539	GRMZM2G105330	1
27536	GRMZM2G105319	1
27445	GRMZM2G104847	1
27443	GRMZM2G104843	1
27383	GRMZM2G104575	1
27381	GRMZM2G104559	1
27376	GRMZM2G104546	1
27374	GRMZM2G104542	1
27371	GRMZM2G104538	1
27366	GRMZM2G104529	1
27360	GRMZM2G104504	1
27356	GRMZM2G104484	1
27355	GRMZM2G104481	1
27341	GRMZM2G104443	1
27337	GRMZM2G104425	1
27336	GRMZM2G104419	1
27335	GRMZM2G104418	1
27324	GRMZM2G104394	1
27322	GRMZM2G104384	1
27315	GRMZM2G104373	1
27391	GRMZM2G104608	1
27441	GRMZM2G104836	1
27440	GRMZM2G104833	1
27436	GRMZM2G104829	1
27435	GRMZM2G104795	1
27432	GRMZM2G104783	1
27431	GRMZM2G104769	1
27428	GRMZM2G104760	1
27424	GRMZM2G104730	1
27421	GRMZM2G104710	1
27415	GRMZM2G104658	1
27408	GRMZM2G104655	1
27407	GRMZM2G104651	1
27400	GRMZM2G104632	1
27399	GRMZM2G104626	1
27393	GRMZM2G104613	1
27392	GRMZM2G104610	1
27419	GRMZM2G104676	1
28337	GRMZM2G108600	1
28348	GRMZM2G108637	1
29169	GRMZM2G111886	1
29160	GRMZM2G111818	1
29146	GRMZM2G111756	1
29140	GRMZM2G111713	1
29137	GRMZM2G111710	1
29135	GRMZM2G111697	1
29129	GRMZM2G111677	1
29119	GRMZM2G111642	1
29113	GRMZM2G111632	1
29103	GRMZM2G111609	1
29102	GRMZM2G111603	1
29172	GRMZM2G111903	1
29180	GRMZM2G111909	1
29251	GRMZM2G112229	1
29239	GRMZM2G112198	1
29237	GRMZM2G112176	1
29235	GRMZM2G112172	1
29234	GRMZM2G112165	1
29231	GRMZM2G112154	1
29230	GRMZM2G112149	1
29227	GRMZM2G112129	1
29225	GRMZM2G112100	1
29222	GRMZM2G112074	1
29216	GRMZM2G112050	1
29214	GRMZM2G112039	1
29212	GRMZM2G112030	1
29207	GRMZM2G111998	1
29202	GRMZM2G111964	1
29197	GRMZM2G111954	1
29194	GRMZM2G111928	1
29193	GRMZM2G111926	1
29218	GRMZM2G112057	1
29021	GRMZM2G111269	1
29019	GRMZM2G111247	1
